Sounds,Sight,Feeling,Smell,Catalyst,Location
"The barking of alerted dogs...
",A vision of those long dead...,,"Sickly-sweet decay...
","A gruesome delivery.
",Station
Grinding Gears,,Sweat breaks out,Wet fur,Hostage situation,Restaurant
A stifled curse,,An unexplainable shiver,,A strange birth,Lighthouse
"Wet, choking coughs",Movement beneath the surface,A tear trailing down your cheek,Stale sweat,Someone vanishes,
Banging in the pipes,A bloody moon,A crushing grip,Savory delights,Evidence Found,City
Noise in the vents,A sliver of moon,Cloth like gossamer,Scent of abandoned spaces,Shared dreams,Refugee Camp
,Torn and bloody clothes,Pins and needles,Eye-watering bleach,Secret orders unsealed,Embassy
Something slithering,Hatched eggs,Thrown to the ground,Spoiled fruit,,Shop
Something moving above,Entrancing eyes,growing heat of desire,Scent of tobacco smoke,Buried alive,Dungeon
Stealthy footsteps,"A strange, distant city",Dizziness and nausea,Hot metal,Lost a bet,Colony
A revving motor,Mountains shrouded by cloud,Squirming beneath your skin,Aseptic cleanliness,An old aquiantance,Castle
A door creaks open,Gnarled limbs of an ancient tree,,Low tide on the docks,,Undiscovered Land
Mournful howling,Bones and viscera,A crunch underfoot,Rich blood,Unnecessary violence,Roadhouse
"Skittering, many-legged things",Suspended in a tank,,,Back from the dead,Warehouse
A clatter of bones,A face in a gas mask,The touch of velvet,"Stale, recycled atmosphere",Creepy child,Village
A stone slab slams to the ground,A half-seen figure beckons,Unreasoning anger,Strange spices,Accused of a crime,Barn
Voices in an unknown tongue,"Roiling, oily smoke",Insatiable hunger,Putrid flesh,,Fog-bank
Grotesque chewing,"Dead, bleached branches",Deep exhaustion,Stagnant waters,Out of body experience,Misty hollow
A hiss of escaping gas,An object out of place,Strange temptations,A dusty cellar,Impossible crime,
Creaking and groaning,A blackened skull,A phlegmy cough,Curious incense,Family trouble,Clocktower
A dying engine,Strange fungus covering,Losing focus,Humid and cold,Time runs out,Survival shelter
A struggle,Cyclopean architecture,,Rancid oil,Wake up bound,Freighter
A bestial roar,,Resistance crumbling,Old sweat,Unusual inheritance,Docks
Slurred speech,Covered in glyphs and sigils,,Noxious chemicals,It followed you home,Desert
"Tap, tap, tap",A spreading pool,Something lands on your head,,Being followed,Workshop
"Drip, drip, drip",A sprawled form,A push from behind,Beer and piss,Eccentric party,Cabin
Humming electricity,"A crude drawing, somehow wrong",A poke in the back,"Ancient, dry dust",Inexplicable suicide,Manor house
Frantic pounding,A carved symbol,Realizing a terrible mistake,Fresh autumn leaves,,Inn
Shocking blasphemies,Crackling arcs of power,Shuddering beneath you,A campfire,,Lockup
Shuffling steps,Strands of viscous goo,Groping in your skull,Acrid ozone,Summoned,Boarding house
Creaking stairs,The flash of a knife,Sting of a hypodermic needle,Heavy industrial grease,Witness,
A scream,A splash of red,Stinging smoke,Rotten flowers,Long lost sibling returns,Mountain
"Running, coming closer",Flames in the distance,Bile rising up your throat,Burning hair,Moral dilemma,Wilderness trail
"Tick, tock, tick, tock",A shape in the fog,A stomach-turning lurch,An odd fragrance,Children in danger,Gardens
Sounds of a fight,Freshly turned earth,A jolt of electricity,Rich soil,Animal attack.,Library
A wet thump,Bloody stains,Throbbing headache,,Meteor storm,Smuggler's den
Movement just behind you,Only you can see,Rush of adrenaline,Just after rain,A prophecy fulfilled,Mausoleum
Repeated blows of an axe,A darting shape,Grasping at your feet,Mouldering vegetation,A distant explosion,
Faint buzzing,Bloodshot eyes,Droplets spatter you,Cloying perfume,Earthquake,Crossroads
Heavy breathing,Storm clouds,,Fresh dung,Odd weather,Bridge
A sharp snap,Bound with straps,Growing paranoia,Musty old books,Uncanny art appears,
Harsh whispering,Odd marks on the walls,Feverishly hot,New leather,,Asylum
Choked gurgling,Live video feed of you,A chill down your spine,Sulfur and brimstone,A battered package,
Fervent preaching,A gathering crowd,A bloody wound,Farm animals,Offer you can't refuse,Orphanage
Long-dormant machines awaken,A blurred motion,,A/C and flourescents,Inaccurate maps,Tenements
,Glistening fangs,Muscles seize up,Strong alcohol,Hint of conspiracy,Alley
Bone-shaking rumbling,Exposed circuitry,The urge to sneeze,Formaldehyde,Rumors of treasure,
A pounding heartbeat,A pale and bloodless face,An oily coating,,Letter from a lawyer,Shopping center
Heartrending shrieks,,Rubbery and cold,Out of place aroma,,
,Dingy and dusty,Suddenly sleepy,A disinfectant tang,Worsening health,Social club
A soft click,"Open, bloody wounds",An unseen presence,Sour vomit,Out of fuel,Fortress
Scratching at the walls,Bizarre bite marks,,Burned flesh,New religion,
,Flesh runs like wax,Leathery wings beating,Moldy bread,Drunken college party,Secrety Society
"Wet, squishing sounds",A horrified expression,A freezing draught,Gasoline,Mad rantings,Pit
Approaching pursuit,The door opens slowly,Something drips onto you,Rotting meat,Scandal,Resort
,A severed limb,An intense cold spot,Stench of rubber,A sudden eclipse,Hall
Sloshing liquid,A glimpse of strange worlds,Tightness in your chest,Newsprint,A ritual peformed,Rally
A haunting melody,Enveloped in shadows,A twisted ankle,Thick smoke,Cultural prejudice,Archives
,"Lights flicker, and something appears",Grit in your eyes,Wafting stench of sewage,Side-tracked,Casino
Horrible grinding,Behind you in the mirror,Squelching nastiness at your feet,,Plague spreads,House of ill repute
Crackling static,,Your hair stands on end,A surprising absence of scent,People disappearing,Expedition site
Zap,"Dirty, grimed glass",As insubstantial as mist,,Corpse goes missing,Accident site
Smashing pottery,Piercings and studs,Feeling naked and exposed,Strong tea,Heartbreak and betrayal,Storage unit
Shattering glass,Restlessly pacing,Claws raking across,Fruit-flavored chapstick,A trashed home,School
A sensor pings,Hastily ransacked,Cold steel,Nervous sweat,Frightened animals,
Terrified whimpering,Glistening wetly,Suddenly weightless,The stink of death,A trap,Guard station
Approaching sirens,,A rumble deep underground,Hot asphalt,Whispers of evil,Concert
Knock knock knock,A time-faded tattoo,A burst of cold,,Kidnapped,Backstage
,,Soggy ground,Festering roadkill,Odd relative arrives,Construction site
Steel on stones,Horrific murals,Hot furnace blasts,Burning candles,Hunters are the hunted,Museum
Strange broadcast,,A sudden stabbing pain,Snow,Quarantine,Campus
A distorted voice,A disgusting nest,Hard and unyielding,Polluted water,Strange hallucinations,On the water
Splitting wood,Wriggling and worm-like,Frantically grasping,Hot tallow,,Popular hangout
Dragging across the floor,Dead flowers,,Dry hay,A gathering mob,Playground
,A mess of tangled wires,Pulling your hair,Cloying air freshener,Vehicle breaks down,Underwater
The roar of power tools,Slowly tracking searchlights,Prickling at your scalp,Cedarwood,Vindictive authorities,Motel
,An abominable beauty,Wracked with convulsions,Gunsmoke,Lost,Disaster site
Rapid clatter of typing,Dark crystals glinting,Splinters catch at your arm,,A threatening note,Drifting wreck
Childlike tittering,A face at the window,Barbs catching on your clothing,Drying paint,,Prison
One loud splash,A malicious grin,Stabbing your foot,Ocean spray,,Caverns
Chaotic splashing,Vermin devouring,Burning your hand,Swampy mud,Disturbing murder,Mineshaft
A low moaning,Hanging froma rope,,Unearthly spices,Accidental attack,Hotel
Voices chanting,Anxiously twitching,Clammy skin,Feces and urine,A portal opens,House
Crack of thunder,A lump of twigs and debris,Coarse wood,Primordial forest,Major route blocked,
,A shapeless thing,"Smooth, time-worn mahogany",Lubricant and sweat,Lost all memory,Farmhouse
A harsh alarm,Pulsating disturbingly,Damp clothing clings,A festering wound,Personality shift,Field
Crows cawing,The light flickers,Something scuttling,,Horrifying local tradition,Cellar
Retching,Visible beneath torn flesh,Smooth plastic surfaces,Chalk dust,A favor invoked,Wedding
,"Snarling, flecked with spittle",Pulsing inside your chest,,Possession,Funeral
Ring ring ring,"A strange bird, watching",,A cheap diner,A prostest,Festival
Discordant music,One-eyed,The floor gives way,A clean breeze,Abducted,
,Masked and robed,So humid you can hardly breathe,Coal smoke,Being spied on,Town
Baying and chattering animals,Meeting at impossible angles,Simy goo,Cat piss,Sabotaged equipment,
Heartfelt sobbing,,A pounding rhythm,Cheap booze,Stranded in the wild,Swimming hole
An ominous laugh,,Dry and scaly,Spoiled milk,Mentor slain,Train
The rattle of dice,Its watching you,Bones breaking,Rotten eggs,Betrayal discovered,Oceanliner
Scrape...scrape...scrape...,A messenger bag,A surge of jealousy,Diesel exhaust,New species found,Swamp
The wind whistling through,A flash of teeth,Cobwebs tangle in your hair,Overheated electronics,A tragic accident,Temple
A fire crackles and pops,The symbol of an obscure religion,Warm and wet,Intense vinegar,,Bar
The ticking of cooling metal,,Intoxication,Fragrant herbs hiding bitterness,Noises in the walls,Hospital
A baby cries,Writhing tentacles,The thrill of fear,,Writings in a journal,Diner
Dry rustling,Hideously serrated teeth,Sparks of rage,Serpents,Unnatural pregnancy,Slaughterhouse
An automated distress call,Backed into a corner,A moment of deja-vu,The dank of a tomb,A doppleganger appears,
A chorus of animals,Something open that should not be,Gut-wrenching acceleration,The gore of a slaughterhouse,A nightmare,Laboratory
"A record skips, repeating",A brand burned into flesh,,Overpowering primal musk,,Camp
A one-sided conversation,,A mental fog lifts,Just before a storm,Haunted by the past,Tower
Something in the walls,,Awake but paralyzed,Moss and old earth,Stupid kids,Rest stop
,Odd footprints leading,Sudden vertigo,Smoke and blood,Eerie Coincidences,Quarantine Zone
BANG,A swarm of flies,Overwhelming despair,Dry-rot,Fire,Junkyard
An inhuman babbling,,A tap on the shoulder,Crisp winter wind,Framed,Graveyard
Desperate pleading,A dilapidated road sign,Suddenly yanked backwards,A heady whiff of marker,Locked in with a beast,Home
A warning growl,Claw marks,Sticky with blood,Pond scum,New abilitiy manifests,Theatre
Communications cut off,Ornate glass-fronted case,Pressure on your ears,A public toilet,Drugged into stupor,Base
Slurping greedily,A finely-tailored suit,Hot breath on your neck,A corpse pit,,Retreat
Impish giggling,Lurid colors,Eyes watching you,Strangely alluring scent,A tainted gift,Gated community
A door locks,Iron-bound oak,,,An apparent haunting,Amusement Park
Eerily Quiet,"A slow, stately procession",Losing control of limbs,Tainted breath,,Basement
,Almost-concealed bruises,Ice in your veins,Decaying seaweed,A party gone wrong,Island
Grunting and snorting,A smile below dead eyes,A sudden impact,,An evil curse,Forest